Shortcut,Action,Application,OS,Category,Description,Frequency
Alt+F8,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F9,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F10,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F11,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F12,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F13,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F14,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F15,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F16,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F17,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F18,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F19,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F20,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F21,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F22,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F23,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+F24,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+0,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+1,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+2,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+3,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+4,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+5,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+6,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+7,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+8,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Alt+9,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+A,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+B,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+C,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+D,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+E,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+G,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+H,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+I,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+J,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+K,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+L,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+M,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+N,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+O,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+P,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+Q,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+R,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+S,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+T,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+U,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+V,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+W,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+X,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+Y,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+Z,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F1,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F2,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F3,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F4,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F5,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F6,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F7,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F8,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F9,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F10,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F11,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F12,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F13,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F14,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F15,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F16,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F17,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F18,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F19,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F20,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F21,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F22,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F23,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+F24,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+0,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+1,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+2,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+3,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+4,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+5,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+6,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+7,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+8,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Shift+9,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+A,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+B,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+C,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+D,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+E,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+G,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+H,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+I,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+J,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+K,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+L,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+M,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+N,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+O,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+P,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+Q,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+R,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+S,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+T,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+U,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+V,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+W,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+X,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+Y,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+Z,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F1,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F2,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F3,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F4,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F5,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F6,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F7,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F8,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F9,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F10,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F11,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F12,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F13,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F14,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F15,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F16,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F17,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F18,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F19,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F20,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F21,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F22,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F23,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+F24,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+0,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+1,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+2,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+3,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+4,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+5,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+6,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+7,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+8,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Cmd+9,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+A,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+B,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+C,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+D,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+E,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+G,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+H,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+I,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+J,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+K,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+L,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+M,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+N,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+O,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+P,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+Q,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+R,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+S,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+T,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+U,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+V,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+W,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+X,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+Y,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+Z,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F1,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F2,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F3,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F4,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F5,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F6,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F7,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F8,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F9,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F10,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F11,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F12,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F13,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F14,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F15,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F16,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F17,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F18,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F19,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F20,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F21,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F22,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F23,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+F24,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+0,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+1,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+2,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+3,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+4,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+5,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+6,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+7,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+8,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Win+9,Application Shortcut,Figma,Cross Platform,Generated Index,Potential shortcut mapping for Figma,Medium
Ctrl+A,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+B,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+C,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+D,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+E,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+G,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+H,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+I,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+J,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+K,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+L,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+M,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+N,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+O,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+P,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+Q,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+R,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+S,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+T,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+U,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+V,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+W,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+X,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+Y,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+Z,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F1,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F2,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F3,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F4,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F5,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F6,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F7,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F8,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F9,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F10,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F11,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F12,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F13,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F14,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F15,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F16,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F17,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F18,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F19,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F20,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F21,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F22,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F23,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+F24,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+0,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+1,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+2,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+3,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+4,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+5,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+6,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+7,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+8,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Ctrl+9,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+A,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+B,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+C,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+D,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+E,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+F,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
Alt+G,Application Shortcut,Blender,Cross Platform,Generated Index,Potential shortcut mapping for Blender,Medium
